depth	min	max	median	mean
1.5	4404	4699	4559	4559
2.5	4428	4707	4573	4573
3.5	4453	4717	4586	4587
4.5	4465	4730	4600	4601
5.5	4474	4747	4616	4615
6.5	4488	4762	4631	4630
7.5	4511	4767	4645	4644
8.5	4526	4772	4662	4658
9.5	4542	4779	4681	4672
10.5	4554	4787	4698	4686
11.5	4568	4795	4714	4700
12.5	4584	4798	4733	4714
13.5	4598	4805	4751	4727
14.5	4610	4813	4766	4741
15.5	4619	4828	4776	4755
16.5	4649	4844	4792	4773
17.5	4693	4863	4808	4795
18.5	4727	4894	4822	4817
19.5	4754	4927	4836	4839
20.5	4778	4977	4851	4862
21.5	4815	5023	4883	4895
22.5	4854	5058	4934	4939
23.5	4875	5103	4984	4984
24.5	4887	5156	5033	5028
25.5	4896	5223	5082	5073
26.5	4939	5265	5128	5119
27.5	5016	5281	5174	5166
28.5	5088	5309	5222	5214
29.5	5146	5352	5265	5261
30.5	5193	5412	5303	5309
31.5	5239	5452	5337	5347
32.5	5295	5467	5368	5376
33.5	5332	5483	5401	5404
34.5	5353	5506	5433	5433
35.5	5371	5544	5462	5462
36.5	5396	5570	5486	5486
37.5	5431	5578	5507	5507
38.5	5458	5591	5528	5527
39.5	5474	5612	5549	5548
40.5	5486	5643	5571	5568
41.5	5509	5669	5590	5589
42.5	5540	5687	5608	5610
43.5	5562	5716	5629	5631
44.5	5578	5760	5651	5653
45.5	5590	5810	5672	5674
46.5	5617	5840	5698	5700
47.5	5651	5850	5728	5730
48.5	5677	5862	5760	5761
49.5	5691	5876	5795	5792
50.5	5705	5904	5831	5822
51.5	5729	5927	5859	5850
52.5	5763	5940	5883	5874
53.5	5790	5963	5905	5899
54.5	5811	5995	5924	5923
55.5	5828	6043	5944	5947
56.5	5860	6072	5965	5969
57.5	5903	6084	5987	5990
58.5	5932	6102	6006	6010
59.5	5946	6124	6028	6031
60.5	5955	6151	6049	6051
61.5	5972	6169	6069	6071
62.5	5993	6180	6089	6089
63.5	6008	6194	6107	6107
64.5	6019	6214	6126	6125
65.5	6027	6241	6146	6144
66.5	6056	6262	6167	6165
67.5	6104	6270	6192	6191
68.5	6145	6278	6218	6216
69.5	6170	6290	6245	6241
70.5	6188	6315	6272	6267
71.5	6209	6341	6291	6287
72.5	6229	6350	6304	6301
73.5	6250	6364	6317	6316
74.5	6269	6384	6331	6330
75.5	6284	6408	6345	6345
76.5	6298	6429	6360	6360
77.5	6310	6445	6377	6375
78.5	6320	6467	6392	6390
79.5	6326	6496	6405	6405
80.5	6332	6532	6418	6421
81.5	6342	6557	6432	6436
82.5	6355	6567	6447	6451
83.5	6364	6584	6463	6467
84.5	6372	6607	6479	6482
85.5	6379	6639	6494	6498
86.5	6394	6663	6509	6513
87.5	6413	6675	6526	6529
88.5	6422	6688	6543	6545
89.5	6431	6707	6560	6560
90.5	6438	6725	6575	6576
91.5	6453	6743	6589	6592
92.5	6474	6755	6605	6607
93.5	6491	6767	6620	6623
94.5	6503	6789	6636	6639
95.5	6514	6803	6653	6654
96.5	6532	6817	6669	6671
97.5	6556	6835	6686	6689
98.5	6569	6855	6703	6706
99.5	6582	6878	6721	6724
