depth	min	max	median	mean
0	-65	-7	-35	-36
1	-47	66	-7	-3
2	-39	158	18	29
3	-34	255	44	61
4	-29	352	70	94
5	-25	446	96	126
6	-3	469	133	159
7	12	495	170	192
8	22	531	203	224
9	30	580	236	257
10	37	643	268	290
11	63	664	297	317
12	84	691	327	345
13	95	717	357	372
14	106	758	390	400
15	117	802	420	427
16	153	823	449	457
17	180	851	480	487
18	199	878	513	517
19	212	911	541	547
20	229	944	572	577
21	277	964	605	608
22	305	984	640	640
23	334	1008	671	671
24	358	1035	702	702
25	376	1080	735	733
26	409	1097	764	763
27	439	1114	798	792
28	468	1134	831	821
29	491	1156	861	850
30	514	1188	893	879
31	575	1198	924	910
32	620	1212	955	942
33	664	1228	985	973
34	701	1249	1019	1004
35	730	1276	1050	1035
36	792	1285	1074	1063
37	846	1293	1099	1091
38	892	1305	1128	1118
39	930	1317	1158	1146
40	953	1340	1188	1174
41	994	1345	1204	1192
42	1027	1352	1223	1211
43	1056	1359	1243	1229
44	1077	1368	1264	1247
45	1099	1380	1282	1266
46	1126	1385	1289	1275
47	1142	1391	1295	1285
48	1155	1401	1303	1294
49	1168	1409	1312	1304
50	1181	1418	1321	1313
51	1193	1427	1327	1322
52	1202	1437	1335	1330
53	1212	1452	1342	1339
54	1218	1468	1348	1347
55	1225	1487	1355	1355
56	1241	1497	1368	1368
57	1253	1509	1381	1381
58	1263	1521	1395	1394
59	1273	1539	1407	1407
60	1279	1562	1418	1419
61	1295	1574	1435	1435
62	1308	1588	1453	1452
63	1318	1604	1470	1468
64	1328	1626	1487	1484
65	1337	1654	1505	1500
66	1369	1662	1522	1520
67	1397	1672	1541	1541
68	1424	1685	1560	1561
69	1447	1703	1579	1582
70	1456	1732	1599	1602
71	1497	1748	1625	1628
72	1533	1767	1653	1654
73	1558	1798	1681	1680
74	1572	1836	1706	1706
75	1582	1890	1730	1732
76	1615	1903	1754	1757
77	1635	1921	1778	1781
78	1656	1944	1804	1806
79	1670	1980	1829	1830
80	1684	2021	1853	1855
81	1720	2033	1876	1878
82	1750	2054	1900	1900
83	1769	2077	1922	1923
84	1783	2107	1942	1946
85	1793	2150	1963	1968
86	1813	2167	1990	1992
87	1830	2191	2015	2016
88	1844	2222	2039	2040
89	1853	2266	2058	2065
90	1861	2315	2080	2089
91	1896	2333	2118	2125
92	1919	2362	2160	2162
93	1939	2405	2205	2199
94	1953	2462	2248	2236
95	1969	2526	2286	2273
96	2015	2540	2327	2311
97	2049	2561	2367	2350
98	2071	2587	2409	2388
99	2096	2622	2453	2427
100	2112	2675	2494	2466
101	2139	2687	2519	2486
102	2167	2707	2542	2507
103	2191	2724	2568	2528
104	2211	2749	2592	2548
105	2222	2777	2617	2569
106	2263	2791	2643	2598
107	2288	2806	2670	2626
108	2309	2837	2694	2655
109	2329	2869	2718	2684
110	2343	2917	2742	2712
111	2371	2933	2768	2743
112	2397	2956	2795	2773
113	2421	2993	2825	2803
114	2436	3050	2853	2833
115	2452	3122	2878	2863
116	2475	3149	2907	2891
117	2495	3190	2936	2918
118	2518	3237	2966	2946
119	2531	3303	2991	2974
120	2550	3370	3013	3001
121	2586	3406	3060	3044
122	2623	3460	3105	3086
123	2654	3538	3146	3129
