depth	min95%	max95%	best	accrate
0	-60	-41	-50	5.78
1	-55	-33	-44	5.78
2	-51	-25	-39	5.78
3	-48	-16	-33	5.78
4	-45	-7	-27	5.78
5	-42	3	-21	5.78
6	-39	12	-15	5.78
7	-36	22	-10	5.78
8	-33	31	-4	5.78
9	-30	41	2	5.78
10	-27	51	8	5.78
11	-25	61	14	5.78
12	-22	71	19	5.78
13	-20	80	25	5.78
14	-17	90	31	5.78
15	-14	100	37	5.78
16	-12	109	42	5.78
17	-9	119	48	5.78
18	-7	129	54	5.78
19	-4	139	60	5.78
20	-1	148	66	5.78
21	1	158	71	5.78
22	4	168	77	5.78
23	6	178	83	5.78
24	9	188	89	5.78
25	11	198	94	5.78
26	14	208	100	5.78
27	16	218	106	5.78
28	18	228	112	5.78
29	21	237	118	5.78
30	23	247	123	5.78
31	26	257	129	3
32	29	259	132	3
33	33	261	135	3
34	37	263	138	3
35	41	265	141	3
36	44	267	144	3
37	49	269	147	3
38	52	271	150	3
39	56	273	153	3
40	59	275	156	3
41	62	277	159	3
42	66	280	162	3
43	70	282	165	3
44	73	284	168	3
45	77	286	171	3
46	81	288	174	3
47	85	291	177	3
48	88	293	180	3
49	91	295	183	3
50	95	298	186	3
51	98	300	189	3
52	102	302	192	3
53	105	304	195	3
54	108	306	198	3
55	111	309	201	3
56	114	311	204	3
57	117	314	207	3
58	120	316	210	3
59	123	318	213	3
60	126	320	216	3
61	129	323	219	3
62	132	325	222	3
63	135	327	225	3
64	138	330	228	3
65	141	332	231	3
66	144	335	234	3
67	147	337	237	3
68	150	339	240	3
69	153	342	243	3
70	156	344	246	3
71	159	346	249	3
72	162	349	252	3
73	165	351	255	3
74	168	354	258	3
75	171	357	261	3
76	174	359	264	3
77	176	361	267	3
78	179	364	270	3
79	182	366	273	3
80	185	368	276	3
81	188	371	279	3
82	190	373	282	3
83	193	376	285	3
84	196	378	288	3
85	198	380	291	3
86	201	383	294	3
87	204	386	297	3
88	207	388	300	3
89	210	390	303	3
90	213	393	306	3
91	216	395	309	3
92	219	397	312	3
93	221	400	315	3
94	224	402	318	3
95	227	404	321	3
96	230	407	324	3
97	233	409	327	3
98	235	412	330	3
99	238	414	333	3
100	241	417	336	3
101	244	419	339	3
102	247	422	342	3
103	250	424	345	3
104	253	427	348	3
105	255	429	351	3
106	258	432	354	3
107	261	434	357	3
108	264	437	360	3
109	266	439	363	3
110	269	442	366	3
111	271	444	369	3
112	274	448	372	3
113	276	451	375	3
114	279	453	378	3
115	282	456	381	3
116	284	458	384	3
117	287	460	387	3
118	289	463	390	3
119	292	465	393	3
120	294	468	396	3
121	297	471	399	3
122	299	473	402	3
123	301	476	405	3
124	304	479	408	3
125	306	483	411	3
126	309	486	414	3
127	311	489	417	3
128	314	492	420	3
129	316	495	423	3
130	318	499	426	3
131	320	502	429	3
132	322	506	432	3
133	324	510	435	3
134	326	513	438	3
135	328	517	441	5.76
136	334	522	446	5.76
137	341	528	452	5.76
138	347	533	458	5.76
139	353	539	464	5.76
140	360	545	470	5.76
141	366	550	475	5.76
142	373	555	481	5.76
143	379	560	487	5.76
144	385	565	493	5.76
145	392	571	498	5.76
146	398	576	504	5.76
147	405	581	510	5.76
148	411	586	516	5.76
149	417	591	521	5.76
150	423	596	527	5.76
151	429	601	533	5.76
152	435	607	539	5.76
153	442	612	544	5.76
154	448	618	550	5.76
155	454	624	556	5.76
156	460	629	562	5.76
157	467	635	568	5.76
158	473	641	573	5.76
159	479	646	579	5.76
160	486	652	585	5.76
161	492	657	591	5.76
162	499	662	596	5.76
163	505	668	602	5.76
164	511	673	608	5.76
165	517	679	614	5.76
166	524	685	619	5.76
167	530	690	625	5.76
168	536	696	631	5.76
169	542	701	637	5.76
170	549	706	642	5.76
171	555	712	648	5.76
172	561	717	654	5.76
173	567	723	660	5.76
174	574	729	666	5.76
175	580	734	671	5.76
176	586	740	677	5.76
