depth	min95%	max95%	best	accrate
0	-57	-25	-47	4.71
1	-54	-19	-42	4.71
2	-50	-13	-38	4.7
3	-47	-7	-33	4.7
4	-44	1	-28	4.7
5	-41	8	-23	4.69
6	-37	15	-19	4.68
7	-34	19	-14	4.68
8	-31	26	-9	4.67
9	-28	34	-5	4.66
10	-25	41	0	4.65
11	-23	48	5	4.63
12	-20	56	9	4.62
13	-17	63	14	4.61
14	-14	70	18	4.59
15	-11	76	23	4.57
16	-9	84	28	4.55
17	-6	91	32	4.54
18	-3	98	37	4.51
19	0	106	41	4.49
20	2	113	46	4.47
21	5	120	50	4.45
22	8	126	55	4.42
23	10	133	59	4.4
24	13	140	63	4.37
25	16	146	68	4.34
26	18	153	72	4.31
27	21	159	76	4.28
28	23	165	81	4.25
29	26	172	85	4.21
30	28	178	89	4.18
31	31	183	93	4.15
32	33	190	98	4.11
33	36	196	102	4.08
34	38	202	106	4.04
35	41	207	110	4.01
36	43	213	114	3.98
37	46	218	118	3.95
38	48	224	122	3.92
39	51	229	126	3.89
40	53	234	129	3.86
41	56	240	133	3.83
42	58	245	137	3.8
43	61	249	141	3.77
44	63	254	145	3.75
45	66	259	148	3.72
46	68	264	152	3.7
47	71	269	156	3.67
48	74	274	160	3.65
49	76	278	163	3.62
50	79	283	167	3.6
51	81	287	170	3.58
52	84	291	174	3.56
53	86	295	178	3.54
54	89	299	181	3.52
55	91	303	185	3.5
56	94	307	188	3.48
57	96	312	192	3.46
58	99	316	195	3.44
59	102	319	199	3.43
60	104	323	202	3.41
61	107	327	205	3.4
62	110	331	209	3.38
63	112	335	212	3.37
64	115	338	216	3.35
65	118	342	219	3.34
66	120	346	222	3.33
67	123	349	226	3.32
68	126	353	229	3.31
69	128	356	232	3.3
70	131	359	235	3.29
71	134	362	239	3.28
72	137	364	242	3.27
73	139	367	245	3.26
74	142	370	249	3.26
75	145	373	252	3.25
76	148	376	255	3.24
77	151	379	258	3.24
78	153	382	262	3.23
79	156	385	265	3.23
80	159	388	268	3.23
81	162	391	271	3.23
82	165	393	274	3.22
83	168	396	278	3.22
84	171	398	281	3.22
85	174	401	284	3.22
86	177	404	287	3.22
87	180	407	291	3.23
88	183	409	294	3.23
89	186	412	297	3.23
90	189	414	300	3.23
91	192	417	304	3.24
92	195	419	307	3.24
93	198	422	310	3.25
94	202	424	313	3.26
95	205	427	316	3.26
96	208	430	320	3.27
97	211	433	323	3.28
98	214	435	326	3.29
99	218	437	330	3.3
100	221	440	333	3.31
101	224	442	336	3.32
102	228	444	340	3.33
103	231	446	343	3.34
104	235	448	346	3.36
105	238	451	350	3.37
106	241	453	353	3.38
107	245	455	356	3.4
108	248	458	360	3.41
109	252	461	363	3.43
